// Start Time: 0
// Sample rate: 50.0Hz
// Scenario: 4.9
// Firmware Version: 2.5.1
Counter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_w	Quat_x	Quat_y	Quat_z
 1099	5.723401	7.278879	-1.681412	-0.346271	0.128546	-0.265355	-0.417939	-1.189561	0.113237	0.664864	0.632518	-0.392167	-0.063887	
 1100	5.683222	7.422717	-1.587231	-0.346333	0.130353	-0.343734	-0.400581	-1.183376	0.111768	0.667342	0.631661	-0.388864	-0.066663	
 1101	5.705819	7.529648	-1.529391	-0.372508	0.139334	-0.403676	-0.383387	-1.172734	0.107145	0.669936	0.630771	-0.385295	-0.069725	
 1102	5.616177	7.581625	-1.545461	-0.380101	0.173213	-0.457871	-0.365541	-1.161964	0.105509	0.672670	0.630101	-0.380968	-0.073152	
 1103	5.423498	7.647800	-1.489261	-0.368922	0.179742	-0.464198	-0.347332	-1.151827	0.103351	0.675302	0.629448	-0.376745	-0.076325	
 1104	5.332811	7.773596	-1.483425	-0.355857	0.172508	-0.465114	-0.330649	-1.139208	0.101668	0.677825	0.628919	-0.372372	-0.079711	
 1105	5.205266	7.809801	-1.449191	-0.348343	0.161591	-0.440213	-0.315406	-1.122854	0.099680	0.680225	0.628255	-0.368436	-0.082733	
 1106	5.236949	8.099178	-1.407190	-0.323984	0.133348	-0.376723	-0.302490	-1.108158	0.099925	0.682431	0.627543	-0.364888	-0.085642	
 1107	5.307380	8.513908	-1.383846	-0.327539	0.095791	-0.259836	-0.293189	-1.089794	0.099993	0.684571	0.626271	-0.362556	-0.087746	
 1108	5.278932	8.810005	-1.353498	-0.327356	0.057353	-0.146599	-0.284802	-1.073173	0.099575	0.686696	0.624610	-0.360955	-0.089568	
 1109	5.120788	9.159329	-1.178820	-0.308420	-0.010281	-0.026078	-0.279787	-1.054197	0.098574	0.688515	0.622513	-0.360844	-0.090642	
